Wavelength (nm),Real n ,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
280.5,2.974,5.304,35650.62389,2.5852,13.07330195,3.4919,34.1647813
281.8,3.12,5.344,35486.1604,2.673,14.32692308,3.5625,33.3364521
283.1,3.277,5.381,35323.20735,2.8288,13.67714373,3.6006,33.08678684
284.4,3.444,5.414,35161.74402,2.9812,13.43786295,3.6407,32.75397119
285.7,3.634,5.435,35001.75009,3.2299,11.11997799,3.6293,33.22355106
287,3.849,5.439,34843.20557,3.4558,10.21564043,3.62,33.44364773
288.3,4.086,5.395,34686.09088,4.0189,1.642192854,3.3273,38.32622799
289.7,4.318,5.301,34518.46738,3.6836,14.69198703,3.6722,30.72627806
291,4.525,5.158,34364.26117,4.4713,1.186740331,3.0473,40.92089957
292.4,4.686,4.989,34199.7264,4.3312,7.571489543,3.109,37.68290239
293.8,4.805,4.812,34036.7597,4.4677,7.019771072,2.9306,39.09808811
295.2,4.888,4.639,33875.33875,4.5346,7.2299509,2.749,40.74153912
296.6,4.941,4.48,33715.44167,4.6278,6.338797814,2.5616,42.82142857
298,4.977,4.335,33557.04698,4.8634,2.282499498,2.1594,50.18685121
299.5,4.999,4.204,33388.98164,4.4885,10.21204241,2.4986,40.5661275
300.9,5.012,4.086,33233.63244,4.9008,2.21867518,1.8823,53.93294175
302.4,5.02,3.979,33068.78307,4.7139,6.097609562,2.0152,49.35410907
303.9,5.021,3.885,32905.56104,4.696,6.47281418,1.9226,50.51222651
305.4,5.02,3.798,32743.94237,4.7169,6.037848606,1.8233,51.99315429
306.9,5.018,3.72,32583.90355,4.7143,6.052212037,1.7243,53.64784946
308.4,5.015,3.65,32425.42153,4.903,2.2333001,1.4025,61.57534247
310,5.01,3.587,32258.06452,4.5561,9.05988024,1.7904,50.08642319
311.5,5.009,3.529,32102.72873,4.9078,2.020363346,1.2558,64.4148484
313.1,5.01,3.477,31938.67774,4.725,5.688622754,1.4311,58.84095485
314.7,5.009,3.429,31776.29488,4.7428,5.314434019,1.3743,59.92125984
316.3,5.012,3.386,31615.55485,4.7355,5.516759777,1.3188,61.05138807
317.9,5.016,3.346,31456.43284,4.7827,4.651116427,1.2299,63.24267782
