Wavelength (um),Wavelength (nm),Real n,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
0.566,566,2.8148,0.1598,17667.84452,4.4501,58.09648998,0.8998,463.0788486
0.567,567,2.8114,0.1582,17636.6843,4.4398,57.92132034,0.8444,433.7547408
0.568,568,2.8079,0.1566,17605.6338,4.4338,57.90448378,0.8215,424.5849298
0.569,569,2.8045,0.1552,17574.69244,4.4232,57.71795329,0.7667,394.007732
0.57,570,2.8013,0.1537,17543.85965,4.4179,57.70892086,0.7443,384.2550423
0.571,571,2.798,0.1523,17513.13485,4.407,57.50536097,0.688,351.7399869
0.572,572,2.7947,0.151,17482.51748,4.4015,57.49454324,0.6659,340.9933775
0.573,573,2.7915,0.1497,17452.00698,4.3911,57.30252552,0.6094,307.0808283
0.574,574,2.7883,0.1485,17421.60279,4.3857,57.2893878,0.5873,295.4882155
0.575,575,2.7851,0.1473,17391.30435,4.3758,57.11464579,0.5301,259.8778004
0.576,576,2.7819,0.1461,17361.11111,4.3705,57.10485639,0.5087,248.1861739
0.577,577,2.7789,0.145,17331.02253,4.3602,56.90381086,0.4513,211.2413793
0.578,578,2.7758,0.144,17301.03806,4.3552,56.89891203,0.4294,198.1944444
0.579,579,2.7728,0.1429,17271.15717,4.3457,56.72605309,0.3712,159.7620714
0.58,580,2.7697,0.1419,17241.37931,4.3402,56.70289201,0.3495,146.3002114
0.581,581,2.7668,0.141,17211.70396,4.3308,56.52739627,0.2912,106.5248227
0.582,582,2.7638,0.14,17182.13058,4.3258,56.51639048,0.2689,92.07142857
0.583,583,2.7608,0.1392,17152.65866,4.3162,56.33874239,0.2104,51.14942529
0.584,584,2.758,0.1383,17123.28767,4.3118,56.33792603,0.1888,36.51482285
0.585,585,2.7551,0.1375,17094.01709,4.3022,56.1540416,0.1289,6.254545455
0.586,586,2.7523,0.1367,17064.84642,4.2977,56.14940232,0.1076,21.28749086
0.587,587,2.7495,0.136,17035.77513,4.2883,55.96653937,0.0468,65.58823529
0.588,588,2.7467,0.1353,17006.80272,4.2842,55.97626242,0.0253,81.30081301
0.589,589,2.7439,0.1346,16977.92869,4.2753,55.81107183,-0.0358,126.5973254
0.59,590,2.7412,0.1339,16949.15254,4.2712,55.81497155,-0.0569,142.4943988
0.591,591,2.7385,0.1333,16920.47377,4.2621,55.63629724,-0.1188,189.1222806
0.592,592,2.7359,0.1327,16891.89189,4.2584,55.64896378,-0.14,205.5011304
0.593,593,2.7332,0.1321,16863.40641,4.2494,55.47343773,-0.2028,253.5200606
0.594,594,2.7307,0.1316,16835.01684,4.2459,55.48760391,-0.2236,269.9088146
0.595,595,2.7281,0.131,16806.72269,4.2372,55.31688721,-0.2876,319.5419847
0.596,596,2.7256,0.1306,16778.52349,4.2334,55.31992956,-0.3084,336.1408882
0.597,597,2.7231,0.1301,16750.41876,4.2257,55.17975836,-0.3733,386.9331284
0.598,598,2.7206,0.1296,16722.40803,4.222,55.18635595,-0.3943,404.2438272
0.599,599,2.7181,0.1292,16694.49082,4.2137,55.02372981,-0.4598,455.8823529
0.6,600,2.7157,0.1288,16666.66667,4.2106,55.04658099,-0.4802,472.826087
0.601,601,2.7134,0.1284,16638.93511,4.2025,54.87948699,-0.5468,525.8566978
0.602,602,2.711,0.1281,16611.29568,4.1995,54.90593877,-0.5682,543.559719
0.603,603,2.7086,0.1277,16583.74793,4.192,54.76629993,-0.6354,597.5724354
0.604,604,2.7063,0.1274,16556.29139,4.1888,54.77958837,-0.6559,614.8351648
0.605,605,2.7041,0.1271,16528.92562,4.1813,54.62815724,-0.7241,669.7088906
0.606,606,2.7019,0.1269,16501.65017,4.1785,54.65043118,-0.7452,687.2340426
0.607,607,2.6997,0.1266,16474.46458,4.1718,54.52828092,-0.8151,743.8388626
0.608,608,2.6974,0.1263,16447.36842,4.1689,54.55253207,-0.8361,761.9952494
0.609,609,2.6953,0.1261,16420.36125,4.1618,54.4095277,-0.9063,818.7153053
0.61,610,2.6931,0.1259,16393.44262,4.1594,54.44654859,-0.9278,836.9340747
0.611,611,2.691,0.1257,16366.61211,4.1528,54.32181345,-0.9989,894.6698488
0.612,612,2.6889,0.1255,16339.86928,4.1502,54.3456432,-1.0202,912.9083665
0.613,613,2.6869,0.1254,16313.2137,4.1437,54.21861625,-1.0926,971.291866
0.614,614,2.6848,0.1252,16286.64495,4.1418,54.26847437,-1.1144,990.0958466
0.615,615,2.6828,0.1251,16260.1626,4.1351,54.13374087,-1.1875,1049.240608
0.616,616,2.6808,0.125,16233.76623,4.1335,54.18904805,-1.2094,1067.52
0.617,617,2.6788,0.1249,16207.45543,4.1273,54.07271913,-1.2837,1127.782226
0.618,618,2.6769,0.1248,16181.22977,4.1259,54.12977698,-1.3053,1145.913462
0.619,619,2.675,0.1247,16155.08885,4.1196,54.00373832,-1.3809,1207.377706
0.62,620,2.6732,0.1247,16129.03226,4.1184,54.06254676,-1.4031,1225.180433
0.621,621,2.6712,0.1246,16103.05958,4.1127,53.96451033,-1.4805,1288.202247
0.622,622,2.6694,0.1246,16077.17042,4.1115,54.02337604,-1.5017,1305.216693
0.623,623,2.6676,0.1245,16051.36437,4.1062,53.92862498,-1.5804,1369.39759
0.624,624,2.6658,0.1245,16025.64103,4.1047,53.97629229,-1.6023,1386.987952
0.625,625,2.664,0.1245,16000,4.0997,53.89264264,-1.6819,1450.923695
0.626,626,2.6623,0.1245,15974.44089,4.0986,53.94959246,-1.7036,1468.353414
0.627,627,2.6606,0.1245,15948.96332,4.0938,53.86754867,-1.785,1533.73494
0.628,628,2.6589,0.1245,15923.56688,4.0927,53.92455527,-1.8068,1551.24498
0.629,629,2.6573,0.1246,15898.25119,4.088,53.84036428,-1.8895,1616.452648
0.63,630,2.6556,0.1246,15873.01587,4.0875,53.92001808,-1.912,1634.510433
0.631,631,2.654,0.1247,15847.86054,4.0829,53.83948757,-1.9957,1700.400962
0.632,632,2.6524,0.1247,15822.78481,4.0828,53.92851757,-2.0185,1718.684844
0.633,633,2.6508,0.1248,15797.78831,4.078,53.84035008,-2.1038,1785.737179
0.634,634,2.6492,0.1249,15772.87066,4.0782,53.94081232,-2.1264,1802.481986
0.635,635,2.6477,0.125,15748.0315,4.0742,53.87694981,-2.2126,1870.08
0.636,636,2.6463,0.125,15723.27044,4.0746,53.9734724,-2.2357,1888.56
0.637,637,2.6448,0.1251,15698.58713,4.0701,53.89065336,-2.3246,1958.193445
0.638,638,2.6433,0.1252,15673.98119,4.0707,54.00068097,-2.3476,1975.079872
0.639,639,2.6419,0.1253,15649.45227,4.0664,53.91952761,-2.4377,2045.490822
0.64,640,2.6404,0.1255,15625,4.0671,54.03347978,-2.4613,2061.195219
0.641,641,2.639,0.1256,15600.62402,4.0639,53.9939371,-2.5522,2132.006369
0.642,642,2.6377,0.1257,15576.32399,4.0648,54.1039542,-2.576,2149.323787
0.643,643,2.6363,0.1258,15552.09953,4.0611,54.04544248,-2.6693,2221.860095
0.644,644,2.635,0.126,15527.95031,4.0621,54.15939279,-2.6932,2237.460317
0.645,645,2.6336,0.1261,15503.87597,4.0591,54.12743013,-2.7882,2311.1023
0.646,646,2.6324,0.1263,15479.87616,4.0602,54.23947728,-2.8118,2326.286619
0.647,647,2.6311,0.1264,15455.95054,4.0575,54.21306678,-2.9093,2401.661392
0.648,648,2.6298,0.1266,15432.09877,4.0584,54.3235227,-2.933,2416.745656
0.649,649,2.6286,0.1268,15408.32049,4.0563,54.31408354,-3.0317,2490.930599
0.65,650,2.6274,0.1269,15384.61538,4.0578,54.44165335,-3.0561,2508.274232
0.651,651,2.6262,0.1271,15360.9831,4.0553,54.41702841,-3.1569,2583.79229
0.652,652,2.625,0.1273,15337.42331,4.0571,54.55619048,-3.1813,2599.057345
0.653,653,2.6239,0.1275,15313.93568,4.0553,54.55238386,-3.2837,2675.45098
0.654,654,2.6228,0.1276,15290.51988,4.0574,54.69727009,-3.3087,2693.025078
0.655,655,2.6217,0.1278,15267.17557,4.0551,54.67444788,-3.4135,2770.970266
0.656,656,2.6206,0.128,15243.90244,4.0574,54.82713882,-3.4389,2786.640625
0.657,657,2.6195,0.1282,15220.70015,4.0557,54.82725711,-3.5458,2865.834633
0.658,658,2.6184,0.1284,15197.56839,4.0582,54.9877788,-3.571,2881.152648
0.659,659,2.6174,0.1286,15174.50683,4.0568,54.993505,-3.6796,2961.275272
0.66,660,2.6164,0.1288,15151.51515,4.0595,55.15593946,-3.7055,2976.940994
0.661,661,2.6154,0.129,15128.59304,4.0584,55.17320486,-3.8165,3058.527132
0.662,662,2.6144,0.1292,15105.74018,4.0613,55.34348225,-3.8427,3074.226006
0.663,663,2.6134,0.1294,15082.95626,4.0604,55.3684855,-3.9557,3156.955178
0.664,664,2.6125,0.1296,15060.24096,4.0635,55.54066986,-3.9818,3172.376543
0.665,665,2.6116,0.1298,15037.59398,4.0628,55.56746822,-4.0975,3256.779661
0.666,666,2.6107,0.13,15015.01502,4.0658,55.7360095,-4.1243,3272.538462
0.667,667,2.6098,0.1303,14992.50375,4.0654,55.77438884,-4.2421,3355.640829
0.668,668,2.609,0.1305,14970.05988,4.0694,55.97546953,-4.2691,3371.340996
0.669,669,2.6081,0.1307,14947.68311,4.0693,56.02545915,-4.39,3458.837031
0.67,670,2.6073,0.1309,14925.37313,4.0732,56.22291259,-4.4168,3474.178762
0.671,671,2.6065,0.1311,14903.12966,4.0733,56.27469787,-4.5403,3563.234172
0.672,672,2.6057,0.1313,14880.95238,4.077,56.4646736,-4.5675,3578.674791
0.673,673,2.605,0.1316,14858.84101,4.0773,56.51823417,-4.6936,3666.56535
0.674,674,2.6042,0.1318,14836.79525,4.0822,56.75447354,-4.7217,3682.473445
0.675,675,2.6035,0.132,14814.81481,4.0827,56.81582485,-4.8501,3774.318182
0.676,676,2.6028,0.1322,14792.89941,4.0874,57.03857384,-4.8787,3790.393343
0.677,677,2.6021,0.1324,14771.04874,4.0882,57.11156374,-5.0103,3884.214502
0.678,678,2.6014,0.1326,14749.26254,4.0928,57.3306681,-5.0393,3900.377074
0.679,679,2.6007,0.1329,14727.5405,4.0938,57.41146614,-5.1734,3992.701279
0.68,680,2.6001,0.1331,14705.88235,4.0995,57.66701281,-5.2026,4008.790383
0.681,681,2.5994,0.1333,14684.28781,4.1008,57.75948296,-5.3402,4106.151538
0.682,682,2.5988,0.1335,14662.7566,4.1064,58.01138987,-5.3692,4121.872659
0.683,683,2.5982,0.1337,14641.28843,4.1076,58.09406512,-5.5097,4220.942408
0.684,684,2.5977,0.134,14619.88304,4.1134,58.34776918,-5.539,4233.58209
0.685,685,2.5972,0.1342,14598.54015,4.1159,58.47451101,-5.6837,4335.245902
0.686,686,2.5966,0.1344,14577.25948,4.1219,58.74220134,-5.7138,4351.339286
0.687,687,2.5961,0.1346,14556.04076,4.1243,58.86522091,-5.8611,4454.457652
0.688,688,2.5956,0.1348,14534.88372,4.1306,59.13854215,-5.8914,4470.474777
0.689,689,2.5952,0.135,14513.7881,4.1333,59.26710851,-6.0425,4575.925926
0.69,690,2.5947,0.1352,14492.75362,4.1398,59.54831002,-6.0737,4592.381657
0.691,691,2.5943,0.1354,14471.78003,4.1428,59.68854797,-6.228,4699.704579
0.692,692,2.5939,0.1356,14450.86705,4.1496,59.97532673,-6.2597,4716.297935
0.693,693,2.5935,0.1358,14430.01443,4.153,60.13109697,-6.4183,4826.28866
0.694,694,2.5931,0.136,14409.2219,4.1601,60.42960164,-6.45,4842.647059
0.695,695,2.5928,0.1362,14388.48921,4.1638,60.59086702,-6.6123,4954.845815
0.696,696,2.5925,0.1364,14367.81609,4.1712,60.8948891,-6.6449,4971.627566
0.697,697,2.5922,0.1366,14347.2023,4.1755,61.07939202,-6.8121,5086.896047
0.698,698,2.5918,0.1368,14326.64756,4.1832,61.4013427,-6.8449,5103.581871
0.699,699,2.5916,0.137,14306.15165,4.1882,61.60672943,-7.0155,5220.80292
0.7,700,2.5913,0.1371,14285.71429,4.1963,61.93802339,-7.0492,5241.648432
0.701,701,2.5911,0.1373,14265.33524,4.2008,62.12419436,-7.2242,5361.616897
0.702,702,2.5909,0.1375,14245.01425,4.2093,62.46478058,-7.2585,5378.909091
0.703,703,2.5907,0.1377,14224.75107,4.215,62.69734049,-7.4386,5502.033406
0.704,704,2.5905,0.1378,14204.54545,4.2239,63.05346458,-7.473,5523.076923
0.705,705,2.5904,0.138,14184.39716,4.2296,63.27980235,-7.6577,5649.057971
0.706,706,2.5903,0.1381,14164.30595,4.239,63.64899819,-7.6931,5670.673425
0.707,707,2.5902,0.1383,14144.27157,4.245,63.88695854,-7.8833,5800.144613
0.708,708,2.5901,0.1384,14124.29379,4.2549,64.2755106,-7.9189,5821.748555
0.709,709,2.5901,0.1386,14104.37236,4.2613,64.5226053,-8.1142,5954.401154
0.71,710,2.5901,0.1387,14084.50704,4.2722,64.94343848,-8.1509,5976.640231
0.711,711,2.5901,0.1388,14064.69761,4.279,65.2059766,-8.3522,6117.435159
0.712,712,2.5901,0.1389,14044.94382,4.2899,65.62680978,-8.3895,6139.956803
0.713,713,2.5901,0.139,14025.24544,4.2972,65.90865218,-8.5965,6284.532374
0.714,714,2.5902,0.1391,14005.60224,4.3084,66.33464597,-8.6335,6306.685838
0.715,715,2.5904,0.1392,13986.01399,4.3163,66.62677579,-8.8472,6455.747126
0.716,716,2.5905,0.1393,13966.48045,4.3281,67.07585408,-8.8862,6479.181622
0.717,717,2.5906,0.1394,13947.00139,4.3365,67.39365398,-9.1061,6632.352941
0.718,718,2.5908,0.1395,13927.5766,4.3493,67.87478771,-9.1447,6655.340502
0.719,719,2.5911,0.1395,13908.20584,4.3585,68.21041257,-9.3718,6818.136201
0.72,720,2.5913,0.1396,13888.88889,4.3713,68.69139042,-9.4125,6842.47851
0.721,721,2.5915,0.1396,13869.62552,4.3817,69.07968358,-9.6462,7009.885387
0.722,722,2.5919,0.1396,13850.41551,4.3949,69.56286894,-9.6867,7038.896848
0.723,723,2.5922,0.1396,13831.25864,4.4055,69.95216418,-9.9292,7212.60745
0.724,724,2.5926,0.1396,13812.1547,4.4194,70.46208439,-9.9703,7242.048711
0.725,725,2.593,0.1396,13793.10345,4.4307,70.87157732,-10.2209,7421.561605
0.726,726,2.5935,0.1396,13774.10468,4.4453,71.40158088,-10.2628,7451.575931
0.727,727,2.594,0.1396,13755.15818,4.4579,71.85427911,-10.5227,7637.750716
0.728,728,2.5945,0.1395,13736.26374,4.4738,72.43399499,-10.5657,7673.978495
0.729,729,2.5951,0.1394,13717.42112,4.4867,72.89121806,-10.8345,7872.238164
0.73,730,2.5957,0.1393,13698.63014,4.503,73.47921563,-10.8786,7909.475951
0.731,731,2.5964,0.1392,13679.89056,4.5168,73.96395008,-11.1573,8115.301724
0.732,732,2.5971,0.1391,13661.20219,4.5344,74.59474029,-11.2027,8153.702372
0.733,733,2.5979,0.1389,13642.5648,4.5499,75.13761115,-11.4923,8373.794096
0.734,734,2.5987,0.1387,13623.9782,4.5679,75.77634971,-11.5393,8419.610671
0.735,735,2.5995,0.1385,13605.44218,4.5844,76.35699173,-11.8405,8649.097473
0.736,736,2.6004,0.1382,13586.95652,4.6039,77.0458391,-11.8878,8701.881331
0.737,737,2.6014,0.1379,13568.52103,4.6212,77.64280772,-12.201,8947.715736
0.738,738,2.6025,0.1376,13550.1355,4.6414,78.3439001,-12.2502,9002.761628
0.739,739,2.6036,0.1373,13531.79973,4.6608,79.01367338,-12.578,9260.961398
0.74,740,2.6047,0.1368,13513.51351,4.683,79.79037893,-12.6284,9331.28655
0.741,741,2.606,0.1364,13495.27665,4.7029,80.46431312,-12.9697,9608.577713
0.742,742,2.6073,0.1359,13477.08895,4.7272,81.30633222,-13.0222,9682.192789
0.743,743,2.6088,0.1353,13458.9502,4.7496,82.06071757,-13.3794,9988.691796
0.744,744,2.6103,0.1346,13440.86022,4.775,82.92916523,-13.4348,10081.27786
0.745,745,2.6119,0.1339,13422.81879,4.7988,83.72832038,-13.8092,10413.06945
0.746,746,2.6137,0.1331,13404.82574,4.8265,84.66159085,-13.8668,10518.33208
0.747,747,2.6155,0.1322,13386.88086,4.8534,85.56298987,-14.2614,10887.74584
0.748,748,2.6175,0.1311,13368.98396,4.8836,86.57497612,-14.322,11024.48513
0.749,749,2.6195,0.1299,13351.13485,4.9126,87.5396068,-14.7383,11445.88145
0.75,750,2.6218,0.1285,13333.33333,4.9451,88.6146922,-14.8018,11618.91051
0.751,751,2.6242,0.127,13315.57923,4.9763,89.63112568,-15.2437,12102.91339
0.752,752,2.6266,0.1253,13297.87234,5.0122,90.82464022,-15.3133,12321.30886
0.753,753,2.6292,0.1233,13280.21248,5.0478,91.98995892,-15.7812,12899.02676
0.754,754,2.6321,0.1209,13262.59947,5.0871,93.27153224,-15.8567,13215.55004
0.755,755,2.6351,0.1182,13245.03311,5.125,94.48977268,-16.3584,13939.59391
0.756,756,2.6382,0.115,13227.51323,5.1682,95.89871882,-16.4443,14399.3913
0.757,757,2.6413,0.1111,13210.03963,5.2084,97.19077727,-16.9845,15387.57876
0.758,758,2.6445,0.1067,13192.61214,5.2522,98.6084326,-17.0832,16110.49672
0.759,759,2.6475,0.1012,13175.23057,5.2912,99.85646837,-17.6696,17560.07905
0.76,760,2.6503,0.0953,13157.89474,5.3294,101.0866694,-17.788,18765.26758
0.761,761,2.6519,0.0879,13140.60447,5.3614,102.1720276,-18.4286,21065.41524
0.762,762,2.6533,0.0803,13123.35958,5.3815,102.8228998,-18.5637,23217.93275
0.763,763,2.6522,0.0718,13106.1599,5.3942,103.3858683,-19.2626,26928.1337
0.764,764,2.6507,0.0634,13089.00524,5.386,103.1916098,-19.3997,30698.8959
0.765,765,2.6469,0.0558,13071.89542,5.3709,102.9128414,-20.1463,36204.48029
0.766,766,2.6427,0.0486,13054.83029,5.3414,102.1190449,-20.2707,41809.25926
0.767,767,2.6374,0.043,13037.80965,5.3066,101.2057329,-21.0582,49072.55814
0.768,768,2.632,0.0381,13020.83333,5.2693,100.2013678,-21.1656,55652.75591
0.769,769,2.6264,0.0343,13003.90117,5.2314,99.18519647,-22.0029,64248.3965
0.77,770,2.621,0.0311,12987.01299,5.1937,98.15719191,-22.0971,71151.76849
0.771,771,2.6157,0.0287,12970.16861,5.1584,97.20916007,-23.0042,80254.00697
0.772,772,2.6107,0.0267,12953.36788,5.125,96.30750373,-23.0899,86579.02622
0.773,773,2.6059,0.0251,12936.61061,5.095,95.51786331,-24.0907,96078.88446
0.774,774,2.6014,0.0238,12919.89664,5.0653,94.71438456,-24.1719,101662.605
0.775,775,2.5971,0.0228,12903.22581,5.0404,94.07801009,-25.2968,111050.8772
0.776,776,2.5931,0.022,12886.59794,5.0152,93.40557634,-25.3762,115446.3636
0.777,777,2.5892,0.0213,12870.01287,4.9956,92.93990422,-26.6674,125299.061
0.778,778,2.5855,0.0208,12853.47044,4.9732,92.34964224,-26.7464,128688.4615
0.779,779,2.582,0.0204,12836.97047,4.9588,92.05267235,-28.2647,138652.451
0.78,780,2.5787,0.0201,12820.51282,4.9398,91.56163959,-28.3455,141122.3881
0.781,781,2.5754,0.0198,12804.09731,4.9306,91.44987186,-30.1947,152598.4848
0.782,782,2.5723,0.0197,12787.72379,4.9132,91.0041597,-30.2768,153789.3401
0.783,783,2.5693,0.0196,12771.39208,4.9113,91.1532324,-32.6445,166653.5714
0.784,784,2.5665,0.0195,12755.10204,4.8965,90.78511592,-32.7303,167947.6923
0.785,785,2.5637,0.0195,12738.8535,4.9033,91.25872762,-36.0324,184881.5385
0.786,786,2.5611,0.0195,12722.64631,4.8905,90.95310609,-36.1233,185347.6923
0.787,787,2.5585,0.0196,12706.4803,4.916,92.14383428,-41.6024,212357.1429
0.788,788,2.556,0.0197,12690.35533,4.9058,91.93270736,-41.7027,211788.8325
0.789,789,2.5535,0.0198,12674.27123,5.0183,96.5263364,-58.0459,293261.1111
