Wavelength (um),Wavelength (nm),Real n,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
0.321,321,1.7464,1.2768,31152.64798,0.9889,43.37494274,5.5082,331.4066416
0.322,322,1.7545,1.2972,31055.90062,1.0018,42.90111143,5.545,327.4591428
0.323,323,1.7635,1.3174,30959.75232,1.0065,42.92599943,5.5969,324.8443905
0.324,324,1.7736,1.3377,30864.19753,1.0227,42.3376184,5.635,321.2454212
0.325,325,1.7847,1.3579,30769.23077,1.0312,42.21998095,5.6874,318.8379115
0.326,326,1.7969,1.3779,30674.84663,1.0513,41.49368357,5.7261,315.5671674
0.327,327,1.81,1.3977,30581.03976,1.0637,41.2320442,5.7783,313.4148959
0.328,328,1.8242,1.4172,30487.80488,1.0877,40.37386252,5.8173,310.4784081
0.329,329,1.8393,1.4363,30395.13678,1.1042,39.96629152,5.869,308.6193692
0.33,330,1.8554,1.455,30303.0303,1.1321,38.9835076,5.9077,306.0274914
0.331,331,1.8724,1.4732,30211.48036,1.1526,38.44264046,5.9583,304.4461037
0.332,332,1.8901,1.4908,30120.48193,1.1841,37.35252103,5.9965,302.2337
0.333,333,1.909,1.508,30030.03003,1.2084,36.69984285,6.0462,300.9416446
0.334,334,1.9286,1.5244,29940.11976,1.2438,35.50762211,6.083,299.0422461
0.335,335,1.9491,1.5403,29850.74627,1.2717,34.75450208,6.1309,298.0328507
0.336,336,1.9703,1.5555,29761.90476,1.3107,33.47713546,6.1661,296.4063002
0.337,337,1.9922,1.5699,29673.5905,1.3425,32.61218753,6.2119,295.6876234
0.338,338,2.0149,1.5835,29585.79882,1.3849,31.2670604,6.2454,294.4047995
0.339,339,2.0382,1.5963,29498.52507,1.4201,30.32577765,6.2884,293.9359769
0.34,340,2.062,1.6082,29411.76471,1.4657,28.9185257,6.3195,292.9548564
0.341,341,2.0863,1.6193,29325.5132,1.5039,27.9154484,6.3598,292.7499537
0.342,342,2.1112,1.6295,29239.76608,1.5524,26.46835923,6.3887,292.0650506
0.343,343,2.1366,1.6388,29154.51895,1.5936,25.41420949,6.4259,292.1100805
0.344,344,2.1624,1.6472,29069.76744,1.6447,23.94099149,6.4519,291.6889267
0.345,345,2.1886,1.6546,28985.50725,1.6887,22.84108563,6.4857,291.9799347
0.346,346,2.215,1.661,28901.7341,1.7421,21.34988713,6.5086,291.8482842
0.347,347,2.2419,1.6666,28818.4438,1.7883,20.23283822,6.5389,292.349694
0.348,348,2.2688,1.6711,28735.63218,1.8441,18.71914669,6.5583,292.4540722
0.349,349,2.296,1.6746,28653.29513,1.8922,17.58710801,6.5847,293.2103189
0.35,350,2.323,1.6772,28571.42857,1.9495,16.07834697,6.6007,293.5547341
0.351,351,2.3505,1.6788,28490.02849,1.9995,14.93299298,6.6239,294.5615916
0.352,352,2.3779,1.6794,28409.09091,2.0583,13.44043063,6.6361,295.1470763
0.353,353,2.4053,1.679,28328.6119,2.1095,12.29784226,6.655,296.3668851
0.354,354,2.4327,1.6777,28248.58757,2.1694,10.82336499,6.6637,297.1925851
0.355,355,2.46,1.6754,28169.01408,2.2218,9.682926829,6.6784,298.6152561
0.356,356,2.4872,1.6721,28089.88764,2.2824,8.234158894,6.6833,299.6949943
0.357,357,2.5142,1.6679,28011.20448,2.3353,7.115583486,6.6938,301.331015
0.358,358,2.5411,1.6628,27932.96089,2.3962,5.702254929,6.6948,302.6220832
0.359,359,2.5676,1.6568,27855.1532,2.4495,4.59962611,6.7006,304.4302269
0.36,360,2.5936,1.6499,27777.77778,2.5106,3.200185071,6.698,305.9639978
0.361,361,2.6196,1.6422,27700.83102,2.5641,2.118644068,6.7004,308.0136402
0.362,362,2.6451,1.6334,27624.30939,2.6251,0.756115081,6.6937,309.8016407
0.363,363,2.6703,1.6239,27548.20937,2.6779,0.284612216,6.692,312.0943408
0.364,364,2.6952,1.6136,27472.52747,2.7383,1.59913921,6.6815,314.07412
0.365,365,2.7195,1.6025,27397.26027,2.7906,2.614451186,6.6753,316.5553822
0.366,366,2.7433,1.5906,27322.40437,2.8501,3.893121423,6.6612,318.785364
0.367,367,2.7667,1.5779,27247.9564,2.9015,4.872230455,6.6512,321.5222764
0.368,368,2.7895,1.5645,27173.91304,2.9597,6.101451873,6.6332,323.9821029
0.369,369,2.8117,1.5504,27100.271,3.0099,7.049116193,6.6192,326.9349845
0.37,370,2.8334,1.5356,27027.02703,3.0663,8.219806593,6.5976,329.6431362
0.371,371,2.8542,1.5204,26954.1779,3.1148,9.130404316,6.5796,332.7545383
0.372,372,2.8745,1.5043,26881.72043,3.17,10.2800487,6.5552,335.7641428
0.373,373,2.8942,1.4878,26809.65147,3.2165,11.13606523,6.5337,339.1517677
0.374,374,2.9132,1.4706,26737.96791,3.2698,12.24083482,6.506,342.4044608
0.375,375,2.9316,1.4528,26666.66667,3.3142,13.05089371,6.481,346.1040749
0.376,376,2.9491,1.4346,26595.74468,3.3646,14.08904412,6.4498,349.5887355
0.377,377,2.9659,1.416,26525.19894,3.4066,14.85889612,6.4219,353.5240113
0.378,378,2.982,1.3969,26455.02646,3.4547,15.85177733,6.388,357.2983034
0.379,379,2.9973,1.3774,26385.22427,3.4939,16.56824475,6.3569,361.5144475
0.38,380,3.0118,1.3576,26315.78947,3.539,17.50448237,6.3204,365.5568651
0.381,381,3.0255,1.3374,26246.71916,3.5754,18.17550818,6.2866,370.061313
0.382,382,3.0384,1.317,26178.01047,3.6172,19.04949974,6.2476,374.3811693
0.383,383,3.0503,1.2965,26109.66057,3.6505,19.67675311,6.2114,379.0898573
0.384,384,3.0617,1.2756,26041.66667,3.6897,20.51148055,6.1709,383.764503
0.385,385,3.0721,1.2545,25974.02597,3.7197,21.08004297,6.1322,388.8162615
0.386,386,3.0817,1.2333,25906.73575,3.7553,21.85806535,6.0899,393.7890213
0.387,387,3.0905,1.2119,25839.79328,3.7819,22.3717845,6.0494,399.1665979
0.388,388,3.0984,1.1906,25773.19588,3.8138,23.08933643,6.0055,404.4095414
0.389,389,3.1055,1.1691,25706.94087,3.8371,23.55820319,5.9636,410.1017877
0.39,390,3.1118,1.1477,25641.02564,3.8652,24.21106755,5.9188,415.7096802
0.391,391,3.1173,1.1263,25575.44757,3.8847,24.61745742,5.8756,421.6727337
0.392,392,3.1219,1.105,25510.20408,3.9091,25.21541369,5.8299,427.5927602
0.393,393,3.1257,1.0838,25445.29262,3.9249,25.56867262,5.7859,433.8531094
0.394,394,3.1287,1.0628,25380.71066,3.9452,26.09710103,5.7401,440.0922093
0.395,395,3.131,1.0422,25316.4557,3.9574,26.39412328,5.6958,446.5169833
0.396,396,3.1325,1.0216,25252.52525,3.9746,26.88268156,5.6498,453.0344558
0.397,397,3.1332,1.0013,25188.91688,3.9832,27.12881399,5.6053,459.8022571
0.398,398,3.1332,0.9812,25125.62814,3.9966,27.55649177,5.5598,466.6326947
0.399,399,3.1325,0.9615,25062.65664,4.0014,27.73822825,5.5156,473.6453458
0.4,400,3.1311,0.9421,25000,4.0113,28.1115263,5.4708,480.7026855
0.401,401,3.129,0.9231,24937.65586,4.0126,28.23905401,5.4272,487.9319684
0.402,402,3.1263,0.9045,24875.62189,4.019,28.55452132,5.3835,495.1907131
0.403,403,3.1229,0.8863,24813.89578,4.0169,28.6272375,5.3407,502.5837752
0.404,404,3.1189,0.8686,24752.47525,4.0198,28.88518388,5.2986,510.0161179
0.405,405,3.1144,0.8514,24691.35802,4.0144,28.89802209,5.2573,517.4888419
0.406,406,3.1093,0.8347,24630.54187,4.0142,29.10301354,5.2168,524.9910147
0.407,407,3.1038,0.8186,24570.02457,4.0057,29.05792899,5.1772,532.4456389
0.408,408,3.0977,0.8031,24509.80392,4.0028,29.2184524,5.1385,539.8331466
0.409,409,3.0912,0.788,24449.87775,3.9919,29.13755176,5.1009,547.322335
0.41,410,3.0843,0.7736,24390.2439,3.9862,29.24164316,5.0645,554.6664943
0.411,411,3.0769,0.7597,24330.90024,3.9728,29.11696838,5.0287,561.9323417
0.412,412,3.0692,0.7465,24271.84466,3.9646,29.17372605,4.9952,569.1493637
0.413,413,3.0612,0.7339,24213.07506,3.9492,29.00823207,4.9619,576.1002861
0.414,414,3.0529,0.7219,24154.58937,3.939,29.02486161,4.931,583.0585954
0.415,415,3.0443,0.7105,24096.38554,3.9216,28.81779063,4.9004,589.7114708
0.416,416,3.0356,0.6998,24038.46154,3.9095,28.78837792,4.8727,596.2989426
0.417,417,3.0267,0.6898,23980.81535,3.8906,28.5426372,4.8446,602.3195129
0.418,418,3.0176,0.6804,23923.44498,3.8772,28.48621421,4.8198,608.377425
0.419,419,3.0084,0.6717,23866.34845,3.857,28.20768515,4.7946,613.8008039
0.42,420,2.999,0.6637,23809.52381,3.8425,28.12604201,4.7732,619.1803526
0.421,421,2.9898,0.6564,23752.96912,3.8218,27.82794836,4.7514,623.857404
0.422,422,2.9806,0.6496,23696.68246,3.8071,27.72931625,4.7329,628.5868227
0.423,423,2.9713,0.6435,23640.66194,3.7859,27.41560933,4.7135,632.4786325
0.424,424,2.962,0.638,23584.90566,3.771,27.3126266,4.6985,636.4420063
0.425,425,2.9529,0.6331,23529.41176,3.7496,26.9802567,4.6822,639.567209
0.426,426,2.9438,0.6289,23474.1784,3.7348,26.87003193,4.6705,642.6458896
0.427,427,2.935,0.6252,23419.20375,3.7141,26.5451448,4.6574,644.9456174
0.428,428,2.9263,0.6221,23364.48598,3.6996,26.42586201,4.6488,647.2753577
0.429,429,2.9179,0.6196,23310.02331,3.6797,26.10781727,4.6386,648.6442866
0.43,430,2.9097,0.6176,23255.81395,3.6662,25.99924391,4.6331,650.1781088
0.431,431,2.9018,0.6162,23201.85615,3.6474,25.69439658,4.6256,650.6653684
0.432,432,2.8942,0.6152,23148.14815,3.6355,25.61329556,4.6231,651.4791938
0.433,433,2.887,0.6147,23094.68822,3.6179,25.316938,4.618,651.2607776
0.434,434,2.88,0.6148,23041.47465,3.6076,25.26388889,4.6181,651.1548471
0.435,435,2.8735,0.6152,22988.50575,3.5925,25.02175048,4.6157,650.2763329
0.436,436,2.8674,0.6159,22935.77982,3.5841,24.99476878,4.6182,649.8295178
